frame,tiempo_s,id_jugador,equipo,x_m,y_m
5970,238.8,47,0,58.2,11.63
5970,238.8,49,0,48.21,10.76
5970,238.8,50,0,70.37,19.13
5975,239.0,51,0,66.12,4.23
5975,239.0,52,0,73.19,6.86
5975,239.0,53,0,58.55,12.03
5975,239.0,50,0,70.42,19.21
5975,239.0,47,0,58.27,11.66
5975,239.0,42,0,62.04,13.9
5980,239.2,51,0,66.07,4.21
5980,239.2,54,0,70.96,12.07
5980,239.2,52,0,73.18,6.86
5980,239.2,53,0,58.67,12.25
5980,239.2,42,0,62.12,14.46
5980,239.2,47,0,58.37,11.92
5985,239.4,51,0,66.01,4.35
5985,239.4,52,0,73.17,6.86
5985,239.4,42,0,61.97,14.24
5985,239.4,53,0,58.85,12.48
5990,239.6,51,0,65.77,4.18
5990,239.6,55,0,65.47,10.76
5990,239.6,52,0,73.21,6.88
5990,239.6,42,0,61.8,13.95
5990,239.6,53,0,59.07,12.9
5995,239.8,51,0,65.67,4.13
5995,239.8,42,0,61.69,13.69
5995,239.8,52,0,73.11,6.78
5995,239.8,55,0,65.4,10.84
5995,239.8,56,0,58.89,11.9
5995,239.8,53,0,59.02,12.56
6000,240.0,51,0,65.69,4.19
6000,240.0,52,0,73.04,6.7
6000,240.0,42,0,61.7,13.72
6000,240.0,55,0,65.17,10.6
6000,240.0,56,0,59.0,11.94
6000,240.0,37,0,70.45,12.69
6005,240.2,56,0,59.07,11.83
6005,240.2,52,0,73.11,6.73
6005,240.2,55,0,64.91,10.44
6005,240.2,42,0,61.19,12.3
6005,240.2,51,0,65.98,4.5
6010,240.4,51,0,66.01,4.6
6010,240.4,56,0,58.94,11.23
6010,240.4,52,0,73.17,6.74
6015,240.6,56,0,59.11,11.27
6020,240.8,57,0,69.94,12.8
6020,240.8,58,0,59.3,7.58
6025,241.0,57,0,70.45,13.51
6025,241.0,42,0,59.0,7.57
6030,241.2,57,0,70.5,13.6
6030,241.2,52,0,73.1,6.57
6035,241.4,57,0,70.24,13.27
6035,241.4,52,0,73.14,6.61
6040,241.6,57,0,70.16,13.11
6040,241.6,52,0,73.05,6.52
6045,241.8,57,0,70.19,13.1
6050,242.0,59,0,56.93,4.72
6050,242.0,57,0,69.96,12.67
6050,242.0,60,0,62.11,14.86
6055,242.2,57,0,70.03,12.62
6055,242.2,59,0,57.04,4.47
6060,242.4,59,0,56.98,4.18
6060,242.4,57,0,70.4,12.89
6060,242.4,60,0,61.53,13.87
6065,242.6,59,0,57.14,4.1
6065,242.6,60,0,60.68,12.0
6065,242.6,57,0,70.35,12.67
6070,242.8,59,0,56.45,2.28
6085,243.4,61,0,52.89,7.87
6090,243.6,61,0,53.15,8.11
6095,243.8,61,0,53.28,8.2
6100,244.0,61,0,53.5,8.45
6105,244.2,61,0,53.63,8.56
6110,244.4,61,0,53.73,8.73
6115,244.6,62,0,69.48,5.4
6115,244.6,61,0,53.94,8.88
6120,244.8,61,0,54.09,8.93
6125,245.0,61,0,54.26,9.2
6130,245.2,63,0,66.88,8.31
6135,245.4,64,0,70.73,5.98
6135,245.4,63,0,67.62,9.18
6140,245.6,64,0,70.83,5.97
6140,245.6,65,0,68.03,7.32
6140,245.6,66,0,71.34,7.49
6140,245.6,63,0,67.7,9.41
6145,245.8,64,0,71.0,6.23
6145,245.8,65,0,68.34,7.6
6145,245.8,63,0,67.95,9.71
6145,245.8,66,0,71.26,7.3
6150,246.0,63,0,68.59,10.4
6150,246.0,65,0,69.42,8.75
6155,246.2,66,0,70.82,6.62
6155,246.2,65,0,68.83,8.12
6160,246.4,66,0,70.53,6.39
6160,246.4,65,0,69.0,8.37
6160,246.4,67,0,80.04,13.03
6165,246.6,66,0,70.38,6.33
6165,246.6,65,0,68.98,8.49
6170,246.8,66,0,70.36,6.5
6175,247.0,66,0,70.3,6.58
6175,247.0,68,0,80.97,13.42
6180,247.2,68,0,80.96,13.42
6180,247.2,66,0,70.92,7.22
6185,247.4,68,0,81.19,13.65
6195,247.8,67,0,81.15,13.96
6200,248.0,67,0,82.1,14.95
6200,248.0,69,0,74.31,15.19
6205,248.2,69,0,74.74,15.79
6215,248.6,70,0,65.8,8.03
6245,249.8,37,0,75.25,10.94
6250,250.0,37,0,75.65,11.26
6255,250.2,51,0,64.3,6.12
6255,250.2,37,0,75.45,10.94
6770,270.8,71,0,68.74,12.44
6895,275.8,72,0,69.84,11.59
6895,275.8,73,0,59.52,18.41
6900,276.0,72,0,69.75,11.57
6900,276.0,73,0,59.3,17.56
6905,276.2,73,0,59.6,18.56
6910,276.4,73,0,59.77,19.02
11355,454.2,74,0,28.83,11.58
11365,454.6,76,0,18.06,17.02
11365,454.6,75,0,28.39,11.58
11370,454.8,77,0,28.75,10.87
11375,455.0,77,0,28.16,11.19
11380,455.2,77,0,27.89,11.41
11385,455.4,77,0,27.49,11.79
11390,455.6,77,0,27.81,11.41
11395,455.8,77,0,27.69,11.53
11395,455.8,78,0,27.98,11.42
11400,456.0,77,0,27.94,11.18
11405,456.2,77,0,27.44,11.65
11410,456.4,77,0,26.92,12.19
11415,456.6,77,0,27.07,12.04
11420,456.8,77,0,26.97,12.1
11425,457.0,77,0,26.68,12.35
11430,457.2,77,0,25.99,13.02
11450,458.0,79,0,25.53,12.94
11455,458.2,79,0,25.47,12.83
11460,458.4,79,0,25.51,12.65
11465,458.6,79,0,24.09,13.95
11500,460.0,77,0,25.03,13.28
11505,460.2,77,0,24.01,14.34
11510,460.4,77,0,23.48,14.84
12350,494.0,80,0,21.22,18.13
12765,510.6,82,0,56.35,21.7
12765,510.6,81,0,51.0,21.34
12770,510.8,81,0,51.17,21.51
14520,580.8,83,0,74.08,13.77
14525,581.0,83,0,74.81,14.55
14735,589.4,84,0,75.11,18.87
14740,589.6,84,0,75.17,19.02
14745,589.8,85,0,79.23,14.72
14745,589.8,84,0,75.25,19.17
14750,590.0,85,0,80.01,15.51
14750,590.0,84,0,74.56,18.27
14810,592.4,86,0,66.73,13.31
14815,592.6,87,0,66.7,13.51
14815,592.6,88,0,74.74,17.48
14815,592.6,86,0,66.48,12.96
14820,592.8,87,0,66.48,13.28
14825,593.0,87,0,66.25,13.12
14825,593.0,88,0,74.88,17.56
14830,593.2,87,0,65.83,12.54
14830,593.2,88,0,74.2,16.64
14835,593.4,88,0,73.96,16.32
14835,593.4,89,0,74.24,16.86
14840,593.6,89,0,73.99,16.55
14845,593.8,89,0,73.4,15.96
14850,594.0,90,0,68.17,5.87
14850,594.0,89,0,73.41,15.94
14875,595.0,91,0,67.04,5.5
14875,595.0,88,0,71.11,12.59
14880,595.2,88,0,70.93,12.45
14880,595.2,91,0,67.07,5.64
14885,595.4,88,0,69.95,11.32
14885,595.4,91,0,67.0,5.7
14890,595.6,88,0,69.85,11.32
14895,595.8,91,0,66.75,5.63
14895,595.8,88,0,68.83,10.11
14900,596.0,91,0,66.11,5.14
14900,596.0,88,0,69.15,10.55
14905,596.2,89,0,69.64,11.53
14910,596.4,91,0,66.18,5.23
14910,596.4,89,0,69.99,11.95
14915,596.6,91,0,65.89,4.87
14915,596.6,89,0,67.3,8.75
14915,596.6,92,0,70.49,10.08
14920,596.8,89,0,68.68,10.57
14920,596.8,92,0,70.54,10.24
14950,598.0,93,0,70.02,12.32
14955,598.2,93,0,70.31,12.83
